,,,,,
Year,Region Name,Pounds,Dollars,Collection,Metric Tons
2024,New England,"28,658,687","10,535,959",Commercial,"12,999"
2024,Middle Atlantic,"364,250,096","82,326,121",Commercial,"165,223"
2024,South Atlantic,"400,531","116,776",Commercial,182
2023,New England,"21,917,202","8,765,550",Commercial,"9,942"
2023,Middle Atlantic,"335,665,905","50,137,508",Commercial,"152,257"
2023,South Atlantic,"774,393","237,193",Commercial,351
2022,New England,"36,676,433","15,242,650",Commercial,"16,636"
2022,Middle Atlantic,"354,118,334","60,863,790",Commercial,"160,627"
2022,South Atlantic,"691,547","263,500",Commercial,314
2021,New England,"55,369,106","61,845,208",Commercial,"25,115"
2021,Middle Atlantic,"389,238,343","64,471,208",Commercial,"176,557"
2021,South Atlantic,"550,851","156,178",Commercial,250
2020,New England,"20,133,167","10,872,292",Commercial,"9,132"
2020,Middle Atlantic,"372,116,901","110,431,246",Commercial,"168,791"
2020,South Atlantic,"863,491","225,245",Commercial,392
2019,New England,"20,680,039","4,624,404",Commercial,"9,380"
2019,Middle Atlantic,"415,854,628","41,472,685",Commercial,"188,630"
2019,South Atlantic,"786,627","218,465",Commercial,357
2018,New England,"12,981,236","2,441,295",Commercial,"5,888"
2018,Middle Atlantic,"401,357,909","41,477,477",Commercial,"182,055"
2018,South Atlantic,"965,720","247,622",Commercial,438
2017,New England,"8,066,302","1,491,364",Commercial,"3,659"
2017,Middle Atlantic,"388,167,987","40,405,322",Commercial,"176,072"
2017,South Atlantic,"1,020,917","236,667",Commercial,463
2016,New England,"7,819,541","1,651,578",Commercial,"3,547"
2016,Middle Atlantic,"363,902,398","34,080,033",Commercial,"165,065"
2016,South Atlantic,"670,470","148,675",Commercial,304
2015,New England,"5,070,195","431,023",Commercial,"2,300"
2015,Middle Atlantic,"435,312,522","40,324,787",Commercial,"197,456"
2015,South Atlantic,"1,276,049","260,230",Commercial,579
2014,New England,"2,756,026","235,140",Commercial,"1,250"
2014,Middle Atlantic,"379,988,263","33,331,061",Commercial,"172,362"
2014,South Atlantic,"1,138,599","217,318",Commercial,516
2013,New England,"2,408,063","199,634",Commercial,"1,092"
2013,Middle Atlantic,"366,726,552","33,822,069",Commercial,"166,346"
2013,South Atlantic,"730,019","161,340",Commercial,331
2012,New England,"1,773,263","217,298",Commercial,804
2012,Middle Atlantic,"492,519,667","40,041,542",Commercial,"223,405"
2012,South Atlantic,"664,933","123,229",Commercial,302
2011,New England,"197,469","109,495",Commercial,90
2011,Middle Atlantic,"496,842,590","39,672,110",Commercial,"225,366"
2011,South Atlantic,"3,676,537","366,781",Commercial,"1,668"
2010,New England,"5,069,465","630,195",Commercial,"2,299"
2010,Middle Atlantic,"499,741,404","40,344,719",Commercial,"226,681"
2010,South Atlantic,"1,375,774","135,282",Commercial,624
2009,New England,"7,140,817","819,534",Commercial,"3,239"
2009,Middle Atlantic,"395,599,897","28,592,666",Commercial,"179,443"
2009,South Atlantic,"2,177,534","251,302",Commercial,988
2008,New England,"18,672,756","2,053,318",Commercial,"8,470"
2008,Middle Atlantic,"397,576,749","24,461,465",Commercial,"180,340"
2008,South Atlantic,"705,328","91,466",Commercial,320
2007,New England,"5,613,499","533,356",Commercial,"2,546"
2007,Middle Atlantic,"472,075,819","29,916,688",Commercial,"214,132"
2007,South Atlantic,"1,205,581","163,112",Commercial,547
2006,New England,"3,452,870","306,419",Commercial,"1,566"
2006,Middle Atlantic,"400,661,919","25,103,605",Commercial,"181,739"
2006,South Atlantic,"1,119,764","197,155",Commercial,508
2005,New England,"2,013,091","139,122",Commercial,913
2005,Middle Atlantic,"412,624,632","36,788,566",Commercial,"187,165"
2005,South Atlantic,"13,425,651","1,237,806",Commercial,"6,090"
2004,New England,"72,582","7,650",Commercial,33
2004,Middle Atlantic,"421,270,356","25,997,759",Commercial,"191,087"
2004,South Atlantic,"50,598,852","4,549,573",Commercial,"22,951"
2003,New England,"46,515","4,655",Commercial,21
2003,Middle Atlantic,"398,743,796","24,352,028",Commercial,"180,869"
2003,South Atlantic,"48,972,313","1,768,679",Commercial,"22,214"
2002,New England,"1,138,788","291,534",Commercial,517
2002,Middle Atlantic,"394,606,279","24,123,298",Commercial,"178,992"
2002,South Atlantic,"69,245,905","5,075,788",Commercial,"31,410"
2001,New England,"38,865","9,722",Commercial,18
2001,Middle Atlantic,"518,487,393","27,783,043",Commercial,"235,184"
2001,South Atlantic,"56,192,349","4,631,319",Commercial,"25,489"
2000,New England,"334,423","20,644",Commercial,152
2000,South Atlantic,"56,543,858","3,608,570",Commercial,"25,648"
2000,Middle Atlantic,"403,599,493","30,040,881",Commercial,"183,072"
1999,New England,"936,828","41,308",Commercial,425
1999,Middle Atlantic,"415,006,201","33,124,689",Commercial,"188,246"
1999,South Atlantic,"43,087,226","2,777,281",Commercial,"19,544"
1998,New England,"2,357,626","151,854",Commercial,"1,069"
1998,Middle Atlantic,"546,566,702","44,160,110",Commercial,"247,921"
1998,South Atlantic,"58,278,021","4,208,538",Commercial,"26,435"
1997,New England,"2,908,879","153,765",Commercial,"1,319"
1997,Middle Atlantic,"540,788,175","33,568,588",Commercial,"245,300"
1997,South Atlantic,"98,135,720","8,896,136",Commercial,"44,514"
1996,New England,"91,351","14,307",Commercial,41
1996,Middle Atlantic,"619,924,322","37,563,538",Commercial,"281,196"
1996,South Atlantic,"54,123,330","4,940,210",Commercial,"24,550"
1995,New England,"316,664","33,424",Commercial,144
1995,Middle Atlantic,"742,215,148","44,575,770",Commercial,"336,667"
1995,South Atlantic,"59,034,352","3,646,814",Commercial,"26,778"
1994,New England,"100,000","5,000",Commercial,45
1994,Middle Atlantic,"556,151,576","34,031,943",Commercial,"252,269"
1994,South Atlantic,"75,240,914","3,329,455",Commercial,"34,129"
1993,New England,"21,055,756","1,401,987",Commercial,"9,551"
1993,Middle Atlantic,"671,919,727","40,176,920",Commercial,"304,781"
1993,South Atlantic,"67,296,150","2,202,207",Commercial,"30,525"
1992,Middle Atlantic,"605,830,176","30,319,007",Commercial,"274,803"
1992,South Atlantic,"60,263,496","1,987,289",Commercial,"27,335"
1992,New England,"21,580,908","1,179,850",Commercial,"9,789"
1991,New England,"22,734,063","1,547,811",Commercial,"10,312"
1991,Middle Atlantic,"622,255,680","31,413,456",Commercial,"282,253"
1991,South Atlantic,"113,024,722","3,226,768",Commercial,"51,268"
1990,New England,"7,467,703","552,393",Commercial,"3,387"
1990,Middle Atlantic,"717,030,803","35,945,813",Commercial,"325,243"
1990,South Atlantic,"74,868,485","2,209,355",Commercial,"33,960"
1989,New England,"534,300","17,223",Commercial,242
1989,Middle Atlantic,"621,722,400","29,741,120",Commercial,"282,011"
1989,South Atlantic,"68,128,793","1,933,167",Commercial,"30,903"
1988,New England,"19,885,056","434,290",Commercial,"9,020"
1988,Middle Atlantic,"559,602,500","28,150,620",Commercial,"253,834"
1988,South Atlantic,"74,742,441","2,646,018",Commercial,"33,903"
1987,New England,"19,979,700","388,869",Commercial,"9,063"
1987,Middle Atlantic,"624,108,895","31,298,345",Commercial,"283,094"
1987,South Atlantic,"58,279,327","1,832,628",Commercial,"26,435"
1986,New England,"22,869,000","393,546",Commercial,"10,373"
1986,Middle Atlantic,"453,997,150","23,404,521",Commercial,"205,932"
1986,South Atlantic,"73,967,886","1,894,882",Commercial,"33,552"
1985,New England,"33,427,600","689,143",Commercial,"15,163"
1985,Middle Atlantic,"648,847,100","29,694,708",Commercial,"294,315"
1985,South Atlantic,"103,517,306","2,462,809",Commercial,"46,955"
1984,New England,"17,992,900","411,024",Commercial,"8,162"
1984,Middle Atlantic,"494,392,200","25,829,707",Commercial,"224,255"
1984,South Atlantic,"166,146,138","4,978,961",Commercial,"75,363"
1983,New England,"42,698,400","858,080",Commercial,"19,368"
1983,Middle Atlantic,"653,157,900","28,770,768",Commercial,"296,270"
1983,South Atlantic,"186,258,526","6,530,864",Commercial,"84,486"
1982,New England,"78,153,300","1,591,104",Commercial,"35,450"
1982,Middle Atlantic,"609,667,400","27,409,793",Commercial,"276,543"
1982,South Atlantic,"197,373,336","6,180,889",Commercial,"89,528"
1981,New England,"47,835,800","1,110,429",Commercial,"21,698"
1981,Middle Atlantic,"515,222,700","21,871,320",Commercial,"233,703"
1981,South Atlantic,"324,870,862","10,669,892",Commercial,"147,360"
1980,New England,"62,302,200","1,411,556",Commercial,"28,260"
1980,Middle Atlantic,"666,838,100","33,375,046",Commercial,"302,476"
1980,South Atlantic,"218,225,541","8,096,470",Commercial,"98,986"
1979,New England,"66,534,800","1,651,364",Commercial,"30,180"
1979,Middle Atlantic,"565,008,800","26,229,062",Commercial,"256,286"
1979,South Atlantic,"259,366,105","8,291,852",Commercial,"117,648"
1978,New England,"20,325,600","462,568",Commercial,"9,220"
